148	75		44 Duos for Two Violins		1931	44 Duos for Two Violins  (1931)
158	75		Contrasts			Contrasts  ()
149	76		Requiebros		1934	Requiebros  (1934)
150	76		Dance of the Green Devil		1926	Dance of the Green Devil  (1926)
151	77		Solo de Concours		1899	Solo de Concours  (1899)
152	78		Afrique		1891	Afrique  (1891)
153	79		a la siciliana		2013	a la siciliana  (2013)
168	79		Sonatesatz		2015	Sonatesatz  (2015)
154	80		String Quartet No. 2		2013	String Quartet No. 2  (2013)
155	81		You Shattered My Deafness		2013	You Shattered My Deafness  (2013)
156	87		Sonata for solo viola		1937	Sonata for solo viola  (1937)
157	88		Contemplations		2013	Contemplations  (2013)
164	90		Street Haunting, three studies for violin, viola and cello		2015	Street Haunting, three studies for violin, viola and cello  (2015)
165	91		Dripstone		2015	Dripstone  (2015)
166	92		Verses		2015	Verses  (2015)
175	93		Pièces de clavecin en concerts			Pièces de clavecin en concerts  ()
7	94		Intermission			Intermission  ()
31	94		Pieces will be introduced from the stage			Pieces will be introduced from the stage  ()
47	94	28	Bolcom & Morris Perform the Classic Popular Song			Bolcom & Morris Perform the Classic Popular Song  ()
70	94		Panel Discussion			Panel Discussion  ()
86	94		Pause	q		Pause q ()
